City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Camacha,PT,2021-12-22 01:38:38,33.0833,-16.3333,62.53,77,20,3.44
1,Port Alfred,ZA,2021-12-22 01:38:38,-33.5906,26.891,68.2,92,14,3.94
2,Shahr-E Babak,IR,2021-12-22 01:38:38,30.1165,55.1186,44.78,64,54,6.08
3,Hobart,AU,2021-12-22 01:38:39,-42.8794,147.3294,64.11,52,75,1.01
4,Torbay,CA,2021-12-22 01:35:28,47.6666,-52.7314,34.75,92,75,25.32
5,Rikitea,PF,2021-12-22 01:38:39,-23.1203,-134.9692,75.18,83,100,15.73
6,Inuvik,CA,2021-12-22 01:38:39,68.3499,-133.7218,2.16,82,90,6.91
7,Vao,NC,2021-12-22 01:38:40,-22.6667,167.4833,77.5,78,79,11.63
8,Damietta,EG,2021-12-22 01:38:40,31.4165,31.8133,53.78,80,31,14.61
9,Ushuaia,AR,2021-12-22 01:38:40,-54.8,-68.3,47.86,76,20,31.07
10,La Macarena,CO,2021-12-22 01:38:40,2.1837,-73.7849,74.93,84,100,3.53
11,Provideniya,RU,2021-12-22 01:38:41,64.3833,-173.3,12.31,73,0,6.71
12,Hamilton,US,2021-12-22 01:35:37,39.1834,-84.5333,40.32,79,1,3.0
13,Kushiro,JP,2021-12-22 01:38:41,42.975,144.3747,27.55,50,20,11.5
14,Punta Arenas,CL,2021-12-22 01:36:27,-53.15,-70.9167,51.91,71,40,23.02
15,Dikson,RU,2021-12-22 01:38:42,73.5069,80.5464,-25.82,94,49,6.67
16,Kloulklubed,PW,2021-12-22 01:38:42,7.0419,134.2556,81.1,68,61,21.3
17,Vaini,TO,2021-12-22 01:38:42,-21.2,-175.2,87.96,89,40,12.66
18,Iqaluit,CA,2021-12-22 01:38:43,63.7506,-68.5145,1.13,84,75,34.0
19,Yellowknife,CA,2021-12-22 01:36:16,62.456,-114.3525,-21.44,76,90,0.0
20,Tiksi,RU,2021-12-22 01:38:43,71.6872,128.8694,-22.61,98,66,9.4
21,Busselton,AU,2021-12-22 01:38:43,-33.65,115.3333,77.59,44,0,7.54
22,San Cristobal,VE,2021-12-22 01:36:47,7.7669,-72.225,73.58,90,100,1.79
23,Kumluca,TR,2021-12-22 01:38:44,36.3703,30.2869,44.67,57,53,4.45
24,Esperance,AU,2021-12-22 01:38:44,-33.8667,121.9,75.04,52,11,11.99
25,Esil,KZ,2021-12-22 01:38:44,51.9556,66.4042,30.56,86,100,18.75
26,Terrace Bay,CA,2021-12-22 01:38:45,48.7834,-87.1,10.02,88,100,16.64
27,Avera,US,2021-12-22 01:38:45,33.194,-82.5271,42.71,92,100,8.05
28,Atuona,PF,2021-12-22 01:38:45,-9.8,-139.0333,78.93,75,100,19.77
29,Nikolskoye,RU,2021-12-22 01:38:46,59.7035,30.7861,14.02,95,100,6.24
30,Roald,NO,2021-12-22 01:38:46,62.5833,6.1333,38.34,93,75,4.61
31,Upernavik,GL,2021-12-22 01:38:46,72.7868,-56.1549,25.63,69,25,10.6
32,Cape Town,ZA,2021-12-22 01:38:47,-33.9258,18.4232,70.27,75,0,1.99
33,Saint George,US,2021-12-22 01:38:47,37.1041,-113.5841,41.95,62,1,1.01
34,Sorland,NO,2021-12-22 01:38:47,67.667,12.6934,33.01,60,19,11.7
35,Hasaki,JP,2021-12-22 01:38:47,35.7333,140.8333,55.29,57,99,10.51
36,Praia Da Vitoria,PT,2021-12-22 01:38:48,38.7333,-27.0667,59.76,94,20,21.74
37,Ribeira Grande,PT,2021-12-22 01:38:48,38.5167,-28.7,60.08,67,99,35.32
38,Margate,GB,2021-12-22 01:38:48,51.3813,1.3862,37.9,67,29,8.63
39,Haines Junction,CA,2021-12-22 01:38:49,60.7522,-137.5108,21.15,49,52,3.44
40,Butaritari,KI,2021-12-22 01:38:49,3.0707,172.7902,81.75,67,100,3.22
41,Joshimath,IN,2021-12-22 01:38:49,30.5667,79.5667,38.07,35,100,8.61
